Date,Category,Product,Quantity,Price
2025-01-05,Action,Final Explosion,120,25.00
2025-01-12,Action,Impossible Escape,85,22.00
2025-01-25,Drama,Tears of Time,60,20.00
2025-02-02,Drama,Silent Destiny,45,21.00
2025-02-15,Comedy,Family Laughs,150,18.00
2025-02-28,Comedy,Office Confusions,90,19.00
2025-03-10,Science Fiction,Star Journey,70,30.00
2025-03-21,Science Fiction,Parallel Worlds,55,28.00
2025-04-01,Animation,Forest Adventure,110,15.00
2025-04-14,Animation,Colorful Heroes,95,16.00
2025-05-05,Action,Shadow Operation,140,27.00
2025-05-22,Action,Last Mission,100,26.00
2025-06-10,Drama,Broken Paths,75,19.00
2025-06-25,Drama,Whispers of Hope,65,20.00
2025-07-08,Comedy,Midnight Giggles,130,17.00
2025-07-19,Comedy,Vacation Trouble,115,18.00
2025-08-03,Science Fiction,Future Horizon,95,29.00
2025-08-18,Science Fiction,Galactic Wars,80,31.00
2025-09-01,Animation,Magical Journey,150,14.00
2025-09-20,Animation,Ocean Guardians,125,15.00
2025-10-05,Action,Deadly Pursuit,160,26.00
2025-10-23,Action,Silent Strike,90,24.00
2025-11-09,Drama,Winter Memories,70,21.00
2025-11-28,Drama,Shattered Dreams,55,20.00
2025-12-12,Comedy,Neighbors at War,140,19.00
2025-12-27,Comedy,Roommates Forever,100,18.00
